Date,Meal Type,Recipe Title,Prep Time (mins)
2026-05-18,Breakfast,Classic Scrambled Eggs,10
2026-05-18,Lunch,Garlic Butter Chicken,25
2026-05-18,Dinner,Pork Adobo,60
2026-05-19,Breakfast,Garlic Fried Rice,15
2026-05-19,Lunch,Tomato and Egg Stir Fry,15
2026-05-19,Dinner,Chicken Paprika,35
2026-05-20,Breakfast,French Toast,12
2026-05-20,Lunch,Garlic Butter Chicken,25
2026-05-20,Dinner,Pork Adobo,60
2026-05-21,Breakfast,Classic Scrambled Eggs,10
2026-05-21,Lunch,Tomato and Egg Stir Fry,15
2026-05-21,Dinner,Chicken Paprika,35
2026-05-22,Breakfast,Garlic Fried Rice,15
2026-05-22,Lunch,Cheesy Garlic Bread,10
2026-05-22,Dinner,Pork Adobo,60
2026-05-23,Breakfast,French Toast,12
2026-05-23,Lunch,Garlic Butter Chicken,25
2026-05-23,Dinner,Chicken Paprika,35
2026-05-24,Breakfast,Cheesy Garlic Bread,10
2026-05-24,Lunch,Tomato and Egg Stir Fry,15
2026-05-24,Dinner,Pork Adobo,60
